loan_amnt,int_rate,issue_d,loan_status
5000.0,8.07,2007-07-01,1.0
12250.0,10.59,2007-07-01,1.0
3000.0,8.7,2007-08-01,1.0
8000.0,9.96,2007-08-01,1.0
12000.0,11.86,2007-08-01,1.0
12750.0,15.33,2007-08-01,1.0
15450.0,11.22,2007-08-01,0.0
20000.0,9.64,2007-09-01,0.0
9500.0,8.07,2007-09-01,1.0
7500.0,9.33,2007-09-01,1.0
17000.0,9.33,2007-09-01,1.0
2125.0,15.01,2007-09-01,0.0
8000.0,12.17,2007-09-01,0.0
2850.0,11.86,2007-09-01,1.0
6000.0,10.28,2007-10-01,1.0
10000.0,12.8,2007-10-01,1.0
7200.0,14.67,2007-10-01,1.0
7000.0,10.28,2007-10-01,1.0
12000.0,10.91,2007-10-01,0.0
4925.0,9.96,2007-10-01,1.0
7725.0,13.75,2007-10-01,0.0
8275.0,9.01,2007-10-01,1.0
9000.0,12.49,2007-10-01,0.0
20000.0,13.12,2007-10-01,0.0
4000.0,9.96,2007-10-01,0.0
2225.0,10.59,2007-10-01,0.0
8275.0,10.59,2007-11-01,0.0
6800.0,11.22,2007-11-01,0.0
3000.0,7.43,2007-11-01,1.0
16500.0,12.8,2007-12-01,1.0
9000.0,9.96,2007-12-01,1.0
4900.0,10.28,2007-12-01,0.0
10000.0,9.96,2007-12-01,0.0
25000.0,10.91,2007-12-01,0.0
2800.0,12.17,2007-12-01,0.0
3500.0,10.28,2007-12-01,1.0
4800.0,9.64,2007-12-01,1.0
12000.0,10.28,2007-12-01,1.0
25000.0,14.38,2007-12-01,0.0
10000.0,9.33,2007-12-01,0.0
15000.0,10.28,2007-12-01,1.0
16000.0,11.54,2007-12-01,0.0
9325.0,10.91,2007-12-01,1.0
15450.0,10.91,2007-12-01,1.0
14400.0,12.8,2007-12-01,0.0
9600.0,12.17,2007-12-01,0.0
20000.0,11.54,2007-12-01,0.0
6500.0,7.75,2007-12-01,1.0
3000.0,9.33,2007-12-01,1.0
16000.0,11.86,2007-12-01,0.0
25000.0,9.33,2007-12-01,0.0
12375.0,10.91,2007-12-01,1.0
25000.0,15.83,2008-01-01,1.0
6000.0,12.17,2008-01-01,1.0
25000.0,16.15,2008-01-01,0.0
2500.0,11.72,2008-01-01,0.0
4000.0,12.36,2008-01-01,1.0
10000.0,9.51,2008-01-01,1.0
14400.0,9.51,2008-01-01,1.0
1850.0,7.12,2008-01-01,1.0
3250.0,7.75,2008-01-01,0.0
20000.0,10.46,2008-01-01,1.0
16000.0,12.67,2008-01-01,0.0
7000.0,10.78,2008-01-01,1.0
16000.0,12.8,2008-01-01,1.0
7500.0,9.83,2008-01-01,1.0
9800.0,7.75,2008-01-01,1.0
